City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
5546220,Saint George,1,US,1586059954,29,37.1,-113.58,290.15,3.6
3661894,Tonantins,100,BR,1586060056,93,-2.87,-67.8,297.23,1.01
3395458,Maragogi,100,BR,1586060057,85,-9.01,-35.22,300.42,3.24
218680,Boende,45,CD,1586060057,84,-0.22,20.87,295.52,0.92
1254710,Tezpur,0,IN,1586060057,30,26.63,92.8,302.75,2.76
6355222,Yulara,80,AU,1586060057,20,-25.24,130.99,298.15,5.1
2016910,Severobaykal'sk,5,RU,1586060057,77,55.65,109.32,271.12,3.81
2063036,Port Lincoln,88,AU,1586060058,67,-34.73,135.87,290.73,7.9
2092164,Lorengau,51,PG,1586060058,74,-2.02,147.27,302.01,4.27
2194098,Ahipara,10,NZ,1586060059,61,-35.17,173.17,292.95,4.84
2264557,Ponta do Sol,20,PT,1586060059,88,32.67,-17.1,290.15,2.1
2122090,Pevek,100,RU,1586060059,92,69.7,170.31,255.33,4.99
3468157,Cajati,27,BR,1586060059,83,-24.74,-48.12,290.75,0.48
3132644,Varhaug,75,NO,1586060059,87,58.61,5.65,280.37,6.7
3361934,Saldanha,81,ZA,1586060060,87,-33.01,17.94,288.15,3.6
625324,Mazyr,0,BY,1586060060,87,52.05,29.25,273.12,3.03
4845585,Westport,90,US,1586060060,81,41.14,-73.36,283.15,3.1
3832791,Villa Carlos Paz,86,AR,1586060060,77,-31.42,-64.5,293.71,4.6
1246294,Galle,96,LK,1586060061,77,6.04,80.22,301.05,3.46
5947866,Elliot Lake,90,CA,1586060061,84,46.38,-82.63,273.15,6.7
187896,Mandera,33,KE,1586060063,13,3.94,41.87,298.71,5.48
3451138,Rio Grande,0,BR,1586060063,73,-32.03,-52.1,291.56,3.84
2035836,Manzhouli,5,CN,1586060063,30,49.6,117.43,282.68,3.96
779554,Honningsvåg,100,NO,1586059999,87,70.98,25.97,272.47,9.56
659169,Hamina,0,FI,1586060063,68,60.57,27.2,271.15,4.1
6255012,Flinders,17,AU,1586060063,34,-34.58,150.86,297.59,10.8
2514891,Lorca,82,ES,1586060064,96,37.67,-1.7,285.37,0.89
3665202,Aripuanã,100,BR,1586060064,92,-9.17,-60.63,296.4,0.68
4761054,Glen Allen,1,US,1586060064,87,37.67,-77.51,282.59,1.68
1262230,Nāgar Karnūl,3,IN,1586060065,30,16.48,78.32,301.86,3.08
3445679,Uruguaiana,24,BR,1586059901,82,-29.75,-57.09,290.15,2
2738381,Lata,40,PT,1586060065,93,40.16,-8.33,287.59,5.1
1529651,Altay,0,CN,1586060065,34,47.87,88.12,281.42,0.99
6111862,Port Hardy,75,CA,1586060125,75,50.7,-127.42,279.15,3.1
1803331,Linxia Chengguanzhen,30,CN,1586060126,23,35.6,103.21,282.6,2.09
2022572,Khatanga,100,RU,1586060126,98,71.97,102.5,271.16,4.43
3566573,Cabañas,20,CU,1586060126,69,22.98,-82.92,297.15,2.1
3377301,Mabaruma,65,GY,1586060126,88,8.2,-59.78,297.52,2.59
2332453,Lagos,20,NG,1586059916,100,6.58,3.75,298.15,2.1
2033225,Zhalantun,15,CN,1586060126,70,48,122.72,279.82,1.34
3175860,Gravina in Puglia,44,IT,1586059984,82,40.82,16.42,287.04,3.1
3441702,Melo,0,UY,1586060127,69,-32.37,-54.18,287.51,0.94
5903851,Blind River,90,CA,1586060127,87,46.18,-82.96,273.15,6.7
3908339,Patacamaya,97,BO,1586060127,25,-17.23,-67.92,281.63,3.56
3945985,Camaná,99,PE,1586060127,71,-16.62,-72.71,295.67,0.84
562878,Fershampenuaz,100,RU,1586060127,85,53.52,59.81,275.44,3.66
1507390,Dikson,100,RU,1586060065,97,73.51,80.55,265.02,4.05
3171173,Pesaro,0,IT,1586060128,70,43.9,12.89,282.59,2.6
3105522,Bereda,75,ES,1586060128,67,43.27,-7.54,288.71,5.7
5973108,Hearst,95,CA,1586059734,95,49.68,-83.67,271.72,2.03
3842881,Nueve de Julio,74,AR,1586060128,78,-35.44,-60.88,290.37,1.34
293842,Kiryat Gat,85,IL,1586060125,19,31.61,34.76,300.15,7.2
5391295,Salinas,40,US,1586060129,87,36.68,-121.66,286.48,4.6
1507116,Dudinka,100,RU,1586060129,97,69.41,86.18,273.15,12
2084442,Vanimo,7,PG,1586060129,72,-2.67,141.3,302.54,4.69
2520875,Bolaños de Calatrava,71,ES,1586060129,91,38.91,-3.66,283.71,0.89
5866063,Kenai,75,US,1586059938,80,60.55,-151.26,275.15,3.1
2476660,Tigzirt,74,DZ,1586060130,67,36.89,4.12,286.4,4.13
2026160,Borogontsy,100,RU,1586060130,94,62.67,131.17,268.65,4.72
1264514,Māgadi,40,IN,1586060130,74,12.97,77.23,299.15,2.1
5882953,Aklavik,5,CA,1586060131,53,68.22,-135.01,269.15,4.6
3517970,Pochutla,37,MX,1586060131,80,15.74,-96.47,299.82,2.87
5972291,Havre-St-Pierre,90,CA,1586060131,92,50.23,-63.6,272.15,2.1
2963295,Killybegs,30,IE,1586060131,77,54.63,-8.45,282.59,7.15
3053712,Devecser,0,HU,1586060132,86,47.1,17.44,277.15,2.04
2026979,Baykal'sk,100,RU,1586060132,72,51.51,104.15,274.41,2.25
2121025,Srednekolymsk,6,RU,1586060132,89,67.45,153.68,262,2.3
1638352,Lasem,95,ID,1586060132,77,-6.69,111.45,300.91,1.7
343413,Āsasa,61,ET,1586060132,36,7.1,39.2,283.79,2.25
5364271,Laguna,90,US,1586060132,87,38.42,-121.42,286.15,2.1
5127305,Monroe,20,US,1586060133,100,43.15,-77.68,281.48,1.5
2214846,Misratah,0,LY,1586060133,72,32.38,15.09,287.88,7.93
1254046,Tura,0,IN,1586060022,17,25.52,90.22,303.6,1.09
3421719,Narsaq,100,GL,1586060133,41,60.92,-46.05,269.15,20.1
3897774,Buin,100,CL,1586060133,67,-33.73,-70.75,289.15,3.1
1848976,Wajima,75,JP,1586060133,61,37.4,136.9,281.15,8.2
4428667,Gulfport,75,US,1586060133,88,30.37,-89.09,292.15,1.76
2036892,Hohhot,100,CN,1586060134,18,40.81,111.65,285.15,3
3419842,Sisimiut,0,GL,1586060134,77,66.94,-53.67,263.42,2.85
5762718,Belle Fourche,1,US,1586060134,68,44.67,-103.85,274.82,3.1
371745,Kutum,93,SD,1586060134,14,14.2,24.67,293.8,3.57
2122104,Petropavlovsk-Kamchatskiy,59,RU,1586060134,35,53.05,158.65,277.15,3
3386213,Touros,40,BR,1586060134,94,-5.2,-35.46,299.15,1.5
1513491,Yangi Marg`ilon,67,UZ,1586060134,67,40.43,71.72,289.15,2.1
4529987,Bartlesville,90,US,1586060134,86,36.75,-95.98,279.15,2.1
6145890,Shelburne,75,CA,1586060135,87,44.08,-80.2,282.59,5.7
2172880,Byron Bay,38,AU,1586059695,53,-28.65,153.62,299.15,5.7
2294915,Takoradze,100,GH,1586060195,83,4.88,-1.76,300.07,2.23
3381538,Grand-Santi,98,GF,1586060195,94,4.25,-54.38,296.5,1.36
6149374,Slave Lake,1,CA,1586060104,53,55.28,-114.77,268.15,3.6
3418910,Upernavik,0,GL,1586060067,79,72.79,-56.15,260.76,4.27
3893629,Coquimbo,100,CL,1586060196,82,-29.95,-71.34,289.15,2.1
3520994,Puerto Escondido,16,MX,1586060019,71,15.85,-97.07,299.02,1.97
5134189,Rockland,90,US,1586060196,71,41.17,-74.05,284.26,1.9
1632694,Pangkalanbuun,94,ID,1586059947,80,-2.68,111.62,300.97,0.99
2640351,Peterhead,88,GB,1586060196,81,57.51,-1.8,280.93,2.6
6453316,Tromsø,90,NO,1586060048,92,69.65,18.96,268.15,8.7
3893726,Constitución,30,CL,1586060038,57,-35.33,-72.42,286.45,3.71
1244926,Hambantota,40,LK,1586060196,84,6.12,81.12,303.15,1
1090397,Bandrele,17,YT,1586060197,83,-12.91,45.19,300.15,2.6
2404663,Panguma,23,SL,1586060197,89,8.18,-11.13,296.43,0.38
5122534,Jamestown,1,US,1586059994,75,42.1,-79.24,281.48,0.36
765932,Lubaczów,0,PL,1586060197,77,50.16,23.12,274.74,1.85
3456642,Mozarlândia,6,BR,1586060197,80,-14.74,-50.57,297.62,1.69
3372964,Lagoa,17,PT,1586060197,74,39.05,-27.98,287.54,4.7
503581,Pyaozerskiy,3,RU,1586060197,93,65.83,31.17,263.88,2.25
